ID,year,school,247,rivals
nakiagriffinstewart_rutgers,2015,rutgers,None,false
izaiabullock_rutgers,2015,rutgers,None,false
gavinhaggerty_rutgers,2015,rutgers,None,false
dwonwalker_rutgers,2015,rutgers,None,false
antoniojeremiah_michiganstate,2008,michiganstate,None,false
kirkcousins_michiganstate,2008,michiganstate,None,false
joelforeman_michiganstate,2008,michiganstate,None,false
toddanderson_michiganstate,2008,michiganstate,None,false
peterbadovinac_michiganstate,2008,michiganstate,None,false
garrettcelek_michiganstate,2008,michiganstate,None,false
bjcunningham_michiganstate,2008,michiganstate,None,false
brianlinthicum_michiganstate,2008,michiganstate,None,false
cammartin_michiganstate,2008,michiganstate,None,false
blakepacheco_michiganstate,2008,michiganstate,None,false
chaseparker_michiganstate,2008,michiganstate,None,false
chrisdrucker_michiganstate,2008,michiganstate,None,false
kyleselden_michiganstate,2008,michiganstate,None,false
adamsetterbo_michiganstate,2008,michiganstate,None,false
bradsonntag_michiganstate,2008,michiganstate,None,false
jonathanstrayhorn_michiganstate,2008,michiganstate,None,false
anthonyfera_pennstate,2009,pennstate,None,false
nickdelligatti_pennstate,2009,pennstate,None,false
lagoree_maryland,2009,maryland,None,false
chasemclaughlin_illinois,2014,illinois,None,false
donaldjohnson_iowa,2018,iowa,None,false
jeffreyjenkins_iowa,2018,iowa,None,false
rileymoss_iowa,2018,iowa,None,false
marcussherels_minnesota,2005,minnesota,None,false
raydixon_minnesota,2013,minnesota,None,false
dukemcghee_minnesota,2013,minnesota,None,false
williamlikely_maryland,2013,maryland,None,false
bradcraddock_maryland,2013,maryland,None,false
natesudfeld_indiana,2012,indiana,None,false
damongraham_indiana,2012,indiana,None,false
adamkranda_indiana,2012,indiana,None,false
ralphgreeniii_indiana,2012,indiana,None,false
christianenglum_indiana,2012,indiana,None,false
dareonfuller_indiana,2012,indiana,None,false
tylerferguson_pennstate,2013,pennstate,None,false
chrisworley_ohiostate,2013,ohiostate,None,false
jackconklin_michiganstate,2012,michiganstate,None,false
kevincronin_michiganstate,2012,michiganstate,None,false
mattmacksood_michiganstate,2012,michiganstate,None,false
gabesherrod_michiganstate,2012,michiganstate,None,false
gabeholmes_purdue,2010,purdue,None,false
jordannorwood_pennstate,2005,pennstate,None,false
michaelcox_michigan,2008,michigan,None,false
kylefrench_wisconsin,2010,wisconsin,None,false
drewmcadams_wisconsin,2010,wisconsin,None,false
connormoutvic_wisconsin,2010,wisconsin,None,false
jasonhengel_wisconsin,2010,wisconsin,None,false
benlandry_wisconsin,2010,wisconsin,None,false
willieresop_wisconsin,2010,wisconsin,None,false
rikikodanko_wisconsin,2010,wisconsin,None,false
jamesmcguire_wisconsin,2010,wisconsin,None,false
benruechel_wisconsin,2010,wisconsin,None,false
marcuskrien_wisconsin,2010,wisconsin,None,false
jacobninneman_wisconsin,2010,wisconsin,None,false
marcustrotter_wisconsin,2010,wisconsin,None,false
lereoladipo_illinois,2017,illinois,None,false
camthomas_illinois,2017,illinois,None,false
natehobbs_illinois,2017,illinois,None,false
blakehayes_illinois,2017,illinois,None,false
etevamaugaclements_nebraska,2020,nebraska,None,false
williamnixon_nebraska,2020,nebraska,None,false
ronalddelancyiii_nebraska,2020,nebraska,None,false
jamesgillum_minnesota,2010,minnesota,None,false
dexterforeman_minnesota,2010,minnesota,None,false
nateclarke_maryland,2010,maryland,None,false
lagoree_maryland,2010,maryland,None,false
jakewheeler_maryland,2010,maryland,None,false
robbolden_pennstate,2010,pennstate,None,false
mikeneal_purdue,2005,purdue,None,false
erichtoth_indiana,2011,indiana,None,false
rjwilliamson_michiganstate,2011,michiganstate,None,false
mattramondo_michiganstate,2011,michiganstate,None,false
damonknox_michiganstate,2011,michiganstate,None,false
rodsmith_ohiostate,2010,ohiostate,None,false
tywilliams_ohiostate,2010,ohiostate,None,false
philtaylor_pennstate,2006,pennstate,None,false
zachdaviswalker_indiana,2007,indiana,None,false
evanpanfil_purdue,2013,purdue,None,false
garretthudson_purdue,2013,purdue,None,false
dezwanpolkcampbell_purdue,2013,purdue,None,false
jacobanderson_purdue,2013,purdue,None,false
joshbodell_michiganstate,2007,michiganstate,None,false
charliegantt_michiganstate,2007,michiganstate,None,false
ericgordon_michiganstate,2007,michiganstate,None,false
marcushyde_michiganstate,2007,michiganstate,None,false
jessejohnson_michiganstate,2007,michiganstate,None,false
jonmisch_michiganstate,2007,michiganstate,None,false
colinneely_michiganstate,2007,michiganstate,None,false
joshrouse_michiganstate,2007,michiganstate,None,false
djyoung_michiganstate,2007,michiganstate,None,false
jacksonkeeler_wisconsin,2013,wisconsin,None,false
samraridon_wisconsin,2013,wisconsin,None,false
troyfumagalli_wisconsin,2013,wisconsin,None,false
ryanconnelly_wisconsin,2013,wisconsin,None,false
ryanramczyk_wisconsin,2013,wisconsin,None,false
